Ticker,AI_Probability,Side,Market_Regime
TKO,0.5400542616844177,SELL,BULL
SNDK,0.5406157970428467,SELL,BULL
UNH,0.5409877300262451,SELL,BULL
NSC,0.5413151979446411,SELL,BULL
LMT,0.5421584248542786,SELL,BULL
CVS,0.543404221534729,SELL,BULL
ELV,0.543647050857544,SELL,BULL
WM,0.5444140434265137,SELL,BULL
ODFL,0.5446940660476685,SELL,BULL
STX,0.5455590486526489,SELL,BULL
IT,0.5457944273948669,SELL,BULL
CSCO,0.546241283416748,SELL,BULL
CIEN,0.5476994514465332,SELL,BULL
LITE,0.5477936863899231,SELL,BULL
QCOM,0.552192211151123,SELL,BULL
PM,0.5653316378593445,SELL,BULL
F,0.590811014175415,SELL,BULL
COHR,0.6788065433502197,SELL,BULL
